文本,标记
"### 黄门院左、右班押班 

宦官名",2
"### 内侍省内侍班院 

宦寺名",1
"### 内侍省内侍班院左班都知

宦官名",2
"### 内侍省内侍班院右班都知

宦官名",2
"### 内侍省内侍班院左班副都知 

宦官名",2
"### 内侍省内侍班院右班副都知 

宦官名",2
"### 内侍省内侍班院左班押班

宦官名",2
"### 内侍省内侍班院右班押班 

宦官名",2
"### 内侍省左右班都都知

宦官名",2
"### 内侍省左右班都知 

宦官名",2
"### 内侍省左班都知

宦官名",2
"### 内侍省右班都知 

宦官名",2
"### 内侍省左班副都知

宦官名",2
"### 内侍省右班副都知 

宦官名",2
"### 内侍省内侍右班副都知

宦官名",2
"### 内侍省押班 

宦官名",2
"### 内侍省内侍押班公事 

内侍省押班加“内侍”",2
"### 内侍省内侍押班 

“内侍”为加官",2
"### 内侍省内侍班 

内侍省内侍官总名",2
"### 内侍省内东头供奉官

宦官名",2
"### 内侍省内西头供奉官 

宦官名",2
"### 内侍省内侍殿头

宦官名",2
"### 内侍省内侍高品

宦官名",2
"### 内侍省内侍高班

宦官名",2
"### 内侍省内侍黄门

宦官名",2
"### 内侍省小黄门 

宦官名",2
"### 内侍省内侍殿直 

宦官名",2
"### 内侍省祇候班

内侍省诸内品总名",2
"### 祗候高品 

宦官名",2
"### 祗候高班内品 

宦官名",2
"### 祇候内品 

宦官名",2
"### 贴祇候内品 

宦官名",2
"### 内品 

宦官名",2
"### 把门内品 

宦官名",2
"### 后苑内品

宦官名",2
"### 后苑勾当事内品 

宦官名",2
"### 北班内品 

宦官名",2
"### 散内品

宦官名",2
"### 后苑散内品 

宦官名",2
"### 在京黄门内品

宦官名",2
"### 外处拣来内品 

宦官名",2
"### 西京北班内品 

宦官名",2
"### 郢州内品 

宦官名",2
"### 唐州内品 

宦官名",2
"### 复州内品 

宦官名",2
"### 内侍省寄班 

隶内侍省",2
"### 寄班祗候

官名",2
"### 寄班供奉

宦官名",2
"### 寄班侍禁 

宦官名",2
"### 寄班殿直 

宦官名",2
"### 寄班奉职

宦官名",2
"### 寄班借职 

宦官名",2
"### 寄班小底 

宦官名",2
"### 西京洒扫班 

宦官名",2
"### 洒扫院子 

责降宦官名",2
"### 内侍官 

宋代宦官通称",2
"### 中使 

衔命出使的内侍",2
"### 中贵、中贵人 

接近帝后、有权势的大宦官",2
"### 诏使 

内臣任使传宣诏敕于外称“诏使”",2
"### 日边人 

对中使的尊称",2
"### 大官 

内侍官之上等者俗称",2
"### 阁长 

中等内侍之俗称",2
"### 宫都监

差遣名",2
"### 都监 

差遣名",2
"### 御药院

内廷官司名",2
"### 生熟药案 

御药院办事机构",1
"### 杂事案 

御药院办事机构",1
"### 开拆司 

御药院办事机构",1
"### 合行案 

御药院办事机构",1
"### 勾当御药院 

差遣名",2
"### 干办御药院 

即勾当御药院",1
"### 主管御药院

职事官名",2
"### 上御药

差遣名",2
"### 上御药供奉 

差遣名",2
"### 御药院祇候 

差遣名",2
"### 典事 

吏人",2
"### 药童 

给使",2
"### 封题学生 

在御药院祗应吏人",2
"### 封题书艺学 

在御药院祗应吏人",2
"### 书写崇奉祖宗表词待诏 

在御药院祗应吏人",2
"### 内东门司 

内廷官司名",2
"### 内东门取索司 

内庭官署名",2
"### 勾当内东门司 

差遣名",2
"### 干办内东门司 

即勾当内东门司",2
"### 押司官 

吏人名",2
"### 前行 

吏人名",2
"### 后行 

吏人名",2
"### 合同凭由司 

内廷官司名",2
"### 监合同凭由司

差遣名",1
"### 管勾往来国信所

外事机构名",1
"### 机宜司

官司名",2
"### 知雄州机宜司

差遣名",1
"### 国信司 

官司名",2
"### 国信使

差遣名",2
"### 国信副使

差遣名",2
"### 管勾国信 

差遣名",2
"### 主管往来国信所

①南宋官司名",2
"### 国信所回易库干办公事

差遣官",2
"### 掌仪范 

差遣名",2
"### 大通事 

差遣官名",2
"### 小通事 

差遣名",2
"### 通事 

大通事、小通事通称",2
"### 通事殿侍 

以殿侍充通事差遣",2
"### 译语殿侍 

以殿侍充译语差遣",2
"### 奉使大金国信所 

官司名",2
"### 都辖礼物官

差遣名",2
"### 引接仪范

差遣名",2
"### 书状官 

吏人名",2
"### 后苑作、制造御前生活所 

内庭官司名",2
"### 后苑使 

差遣名",2
"### 权干办后苑官

差遣名",2
"### 后苑大主管使臣 

差遣名",2
"### 提举后苑作生活所

差遣名",2
"### 管勾龙图阁

差遣名",2
"### 管勾天章阁

差遣名",2
"### 管勾宝文阁 

差遣名",2
"### 勾当龙图、天章、宝文阁

即管勾龙图、天章、宝文阁",2
"### 主管龙图、天章、宝文阁

南宋改管勾为主管、勾当为干办",2
"### 勾当军头、引见司

差遣名",2
"### 干办军头、引见司 

差遣名",2
"### 宰相

官称",2
"### 同中书门下平章事 

宋前期宰相名",2
"### 同中书门下二品

同中书门下平章事讳称",2
"### 同中书门下平章事、昭文馆大学士 

宋前期首相及所带馆职",2
"### 同中书门下平章事、昭文馆大学士、监修国史 

宋前期及所带馆职",2
"### 同中书门下平章事、昭文馆大学士、监修国史、兼译经润文使

宋前期首相及所带馆职与使衔",2
"### 同中书门下平章事、监修国史

宋前期宰相及所带馆职",2
"### 同中书门下平章事、集贤殿大学士 

宋前期宰相及所带馆职名",2
"### 三相 

昭文相、史馆相、集贤相合称",2
"### 上宰、首台、首宰、冠台席 

首相与独相均可称之",2
"### 左相、右相 

①宋前期二相",2
"### 门下相 

凡本官为门下侍郎而同中书门下平章事者之称",2
"### 揆门相 

宋前期如以尚书左仆射兼门下侍郎、同中书门下平章事",2
"### 尚书左仆射兼门下侍郎

元丰新制官名",2
"### 尚书右仆射兼中书侍郎

元丰新制宰相名",2
"### 太师、三日一至都堂议事 

政和二年宰相名",2
"### 太宰兼门下侍郎 

政和二年（1112）至靖康元年（1126）宰相名",2
"### 少宰兼中书侍郎 

政和二年至靖康元年宰相名",2
"### 尚书左仆射、同中书门下平章事

建炎三年至乾道八年宰相名",2
"### 尚书右仆射、同中书门下平章事

建炎三年至乾道八年宰相名",2
"### 左、右丞相 

乾道八年（1172）后宰相名",2
"### 平章军国重事

贵官名",2
"### 同平章军国事 

贵官名",2
"### 平章军国事

贵官名",2
"### 使相 

加官名",2
"### 节度使、同中书门下平章事 

官名",2
"### 参知政事 

职事官名",2
"### 参知政事行府 

临时机构名",1
"### 门下侍郎 

职事官名",2
"### 中书侍郎 

职事官名",2
"### 尚书左丞、尚书右丞 

职事官名",2
"### 执政官

职官总名",2
"### 宰执 

职官总名",2
"### 公师 

宋前期三师、三公合称",2
"### 公孤 

宋政和二年之后",这段文字没有提供足够的信息来判断“公孤”是机构还是官职。
"### 三师 

太师、太傅、太保之总名",2
"### 太师 

加官、阶官名",2
"### 太傅 

加官、阶官名",2
"### 太保

加官、阶官名",2
"### 三公 

①宋前期太尉、司徒、司空之总名",2
"### 太尉 

加官、阶官名",2
"### 司徒 

加官、阶官名",2
"### 司空 

加官、阶官名",2
"### 三少 

少师、少傅、少保总名",2
"### 少师 

加官、阶官名",2
"### 少傅 

加官、阶官名",2
"### 少保

加官、阶官名",2
"### 枢密院

官署名",1
"### 枢密行府 

枢密院驻外机构名",1
"### 枢密使 

职事官名",2
"### 枢密太尉 

北宋前期",2
"### 枢使 

枢密使寄理称",2
"### 枢密副使

职事官名",2
"### 判枢密院事 

职事官名",2
"### 知枢密院事 

职事官名",2
"### 同知枢密院事 

职事官名",2
"### 签署枢密院事 

职事官名",2
"### 同签署枢密院事 

职事官名",2
"### 签书枢密院事 

职事官名",2
"### 同签书枢密院事 

职事官名",2
"### 领枢密院事 

职事官名",2
"### 权领枢密院事

职事官名",2
"### 权同发遣枢密院事 

差遣官",2
"### 枢密院承旨司

官司名",1
"### 枢密院承旨 

差遣名",2
"### 枢密院都承旨 

职事官",2
"### 权枢密院都承旨 

临时差遣",2
"### 枢密院副都承旨

职事官",2
"### 枢密院副承旨 

枢密院吏人职",2
"### 枢密院诸房副承旨 

枢密院吏人职",2
"### 枢密院五房 

①宋初枢密院分四房（兵、吏、户、礼）",1
"### 枢密院兵房 

枢密院办事机构之一",1
"### 枢密院吏房 

枢密院办事机构之一",1
"### 枢密院户房 

枢密院办事机构之一",1
"### 枢密院礼房 

枢密院办事机构之一",1
"### 枢密院刑房 

枢密院办事机构之一",1
"### 枢密院十二房 

元丰改制后",1
"### 枢密院北面房 

枢密院办事机构",1
"### 枢密院河西房 

枢密院办事机构",1
"### 枢密院支差房

枢密院办事机构",1
"### 枢密院在京房

枢密院办事机构",1
"### 枢密院教阅房

枢密院办事机构",1
"### 枢密院广西房

枢密院办事机构",1
"### 枢密院兵籍房 

枢密院办事机构",1
"### 枢密院民兵房

枢密院办事机构",1
"### 枢密院知杂房

枢密院办事机构",1
"### 枢密院支马房 

枢密院办事机构",1
"### 枢密院小吏房 

枢密院办事机构",1
"### 枢密院二十五房

北宋末、南宋初",1
"### 枢密院机速房

官司名",1
"### 枢密院写宣房

枢密院办事机构名",1
"### 枢密院编修时政记房 

官司名",2
"### 枢密院干办官 

职事官",2
"### 枢密院计议官 

职事官名",2
"### 枢密院检详所 

官署名",1
"### 枢密院检详诸房文字 

职事官名",2
"### 枢密院编修

元祐前为差遣",2
"### 枢密院编修司 

官署名",1
"### 枢属 

枢密院属官—枢密院都承旨、副都承旨、检详官、编修官",2
"### 枢掾 

即枢属",2
"### 枢密院制置兵马司 

官署名",1
"### 枢密院讲议司 

官署名",1
"### 银台司 

京局名",1
"### 知通进、银台司公事 

差遣官名",2
"### 知通进、银台司兼门下封驳公事

差遣名",2
"### 勾当通进银台事兼门下封驳公事

差遣名",2
"### 看详银台司文字所

官署名",1
"### 银台司主事 

公吏名",2
"### 银台司令史 

公吏名",2
"### 银台司书令史 

公吏名",2
"### 发敕司 

京局名",1
"### 印司

官司名",2
"### 宣旨院 

衙署名",1
"### 皮剥所 

监当局名",1
"### 剥马务 

监当局名",1
"### 行在皮剥所 

即皮剥所",1
"### 枢密院皮剥所

即行在皮剥所",1
"### 监专公人 

皮剥所监官",2
"### 剥手 

匠人名",2
"### 专知官

公吏名",2
"### 军典 

公吏名",2
"### 节级 

公吏名",2
"### 御前弓马子弟所

京局名",1
"### 弓马教头 

官名",2
"### 省马院

京局名",1
"### 枢密院东厨、西厨

京局名",1
"### 食手 

公人名",2
"### 枢密院将帅、将佐 

北宋枢密院有发兵之权",1
"### 都统制 

武官名",2
"### 副都统制 

武官名",2
"### 统制

武官名",2
"### 统领 

武官名",2
"### 将佐

统制、统领官合称",2
"### 正将

武官名",2
"### 副将 

武官名",2
"### 准备将领 

武官名",2
"### 偏裨 

正将、副将、准备将领等下级指挥官之总名（《通考•职官》13《统制》）",2
"### 提领海船

武官名",2
"### 枢密院使臣 

南宋初",2
"### 准备差使 

武人差遣名",2
"### 准备使唤 

武人差遣名",2
"### 准备听候使唤 

武人差遣官名",2
"### 准备差遣 

武官差遣名",2
"### 效士 

文人差使名",2
"### 枢密院尅择官 

流外官名",2
"### 枢密院给使 

枢密院公人总名",2
"### 大程官营 

大程官驻所",1
"### 大程官 

给使名",2
"### 枢密院吏人 

枢密院吏人",2
"### 枢密院逐房副承旨

吏职名",2
"### 主事 

吏职名",2
"### 守阙主事 

吏职名",2
"### 令史 

吏职名",2
"### 书令史 

吏职名",2
"### 守阙书令史 

吏职名",2
"### 贴房 

吏职名",2
"### 法司 

吏职名",2
"### 法司贴司 

吏职名",2
"### 写宣命 

吏职名",2
"### 枢密院五房院 

吏廨名",1
"### 同知三省、枢密院 

差遣官名",2
"### 三省、枢密院激赏库 

京局名",1
"### 三省枢密院激赏酒库 

京局名",1
"### 三省枢密院架阁库

京局名",1
"### 主管三省、枢密院架阁文字

监当官",2
"### 监三省、枢密院门 

南宋差遣官",2
"### 中书门下、枢密院 

北宋前期",1
"### 宰相兼枢密使 

宋代宰相或兼枢密使",2
"### 三省 

中书省、门下省、尚书省总名",2
"### 东府 

三省别称",2
"### 台省 

三省别称",1
"### 省台 

即台省",2
"### 三省长官 

门下省侍中、中书省令、尚书省令之总名",2
"### 两令 

中书省、尚书省长官中书令、尚书令合称",2
"### 三省都录事

吏人总名",2
"### 经抚房 

临时设置的机密办事部门",1
"### 两省 

中书省、门下省合称",1
"### 北省 

以门下省、中书省为北省",1
"### 掖署 

中书省、门下省通称",1
"### 内两省 

中书省、门下省总称",1
"### 大两省 

中书省、门下省之左右散骑常侍、给事中、中书舍人（知制诰）、左右谏议大夫之总名",2
"### 两省长官 

门下省侍中、中书省令合称",2
"### 两省侍郎 

门下省侍郎与中书省侍郎合称",2
"### 左、右省侍郎 

两省侍郎别称",2
"### 两后省

中书后省、门下后省合称",1
"### 后两省 

即两后省",2
"### 后省 

中书后省、门下后省通称",1
"### 两省给舍 

门下省给事中、中书省舍人合称",2
"### 给舍 

给事中、中书舍人连称",2
"### 二起居 

门下省起居郎、中书省起居舍人合

## /page{171R}

称",2
"### 左右史 

起居郎、起居舍人别称左右史",2
"### 柱下史 

典故称",2
"### 左右起居

即二起居",2
"### 小两省官 

起居郎、起居舍人号称",2
"### 一点青 

起居郎、舍人从六品官",2
"### 二史 

二起居别称",2
"### 小侍从 

起居郎、起居舍人官称",2
"### 螭头 

起居郎、舍人典故称",2
"### 侍立官 

因起居郎、起居舍人分左、右侍立殿陛而得名",2
"### 修注官 

因起居郎、舍人职掌记注得名",2
"### 常侍 

门下省左散骑常侍、中书省右散骑常侍通称",2
"### 骑省 

左、右散骑常侍别称",2
"### 谏大夫 

门下省左谏议大夫、中书省右谏大夫之通称",2
"### 司谏

门下省左司谏、中书省右司谏通称",2
"### 正言 

门下省左正言、中书省右正言通称",2
"### 谏院 

南宋中书、门下后省谏官曾另置局称谏院",1
"### 谏官厅 

门下、中书两省谏官",2
"### 都堂 

官署名",1
"### 门下省 

中央官署名",2
"### 门下省吏房 

元丰新制门下省常设办事部门之一",1
"### 门下省户房 

门下省常设办事部门之一",1
"### 门下省礼房 

门下省常设办事部门之一",1
"### 门下省兵房 

门下省常设办事部门之一",1
"### 门下省刑房 

门下省常设办事部门之一",1
"### 门下省工房 

门下省常设办事部门之一",1
"### 门下省开拆房 

门下省常设办事部门之一",1
"### 门下省章奏房 

门下省常设办事部门之一",1
"### 门下省制敕库房 

门下省常设办事部门之一",1
"### 门下省催驱房 

元丰八年门下省增设的办事部门",1
"### 门下省班簿房 

元祐间",2
"### 门下省点检房 

元祐三年门下省增设的办事部门",1
"### 判门下省事 

宋前期差遣官名",2
"### 侍中 

宋前期为阶官",2
"### 左辅 

门下省侍中的改名",2
"### 门下侍郎 

宋前期阶官名",2
"### 门下后省 

官署名",2
"### 门下后省上案 

门下后省常设办事部门之一",1
"### 门下后省下案 

门下后省常设办事部门之一",1
"### 门下后省封驳案

门下后省常设办事部门之一",1
"### 门下后省谏官案

门下后省常设办事部

## /page{176L}

门之一",2
"### 门下后省记注案

门下后省常设办事部门之一",1
"### 给事中 

宋前期阶官名",2
"### 起居郎 

宋前期阶官名",2
"### 左散骑常侍 

宋前期阶官名",2
"### 左谏议大夫

宋前期为官阶名",2
"### 左补阙 

宋初为阶官",2
"### 左司谏 

太宗端拱元年初置时为职事官",2
"### 左拾遗 

宋初为官阶名",2
"### 左正言 

宋前期为阶官名",2
"### 外符宝郎

官名",2
"### 内符宝郎 

官名",2
"### 录事 

吏名",2
"### 主事

公吏名",2
"### 令史 

吏名",2
"### 书令史 

吏名",2
"### 守当官 

吏名",2
"### 守阙守当官 

吏名",2
"### 通进司

官署名",1
"### 点检通进司公事 

官名",2
"### 监通进司官

差遣官名",2
"### 承转承接亲从官

吏名",2
"### 承转承接亲事官

吏名",2
"### 承转承接亲从亲事官 

通进司承转承接亲从官与通进司承转承接亲事官合称",2
"### 奏禀使臣 

差遣名",2
"### 主管通进司文字

吏名",2
"### 发敕官 

吏名",2
"### 进奏院 

官署名",1
"### 都进奏院 

官署名",1
"### 钤辖诸道进奏院 

差遣官名",2
"### 监都进奏院 

北宋前期差遣官名",2
"### 勾当都进奏院公事 

差遣官名",2
"### 进奏官

公吏名",2
"### 知后官 

公吏名",2
"### 私名副知 

公吏名",2
"### 守阙副知 

公吏名",2
"### 守阙进奏官 

公吏名",2
"### 拣中副知 

公吏名",2
"### 邸吏

都进奏院吏人别称",2
"### 登闻检院 

官署名",2
"### 检

匦之改名",2
"### 四检 

唐朝设匦",2
"### 判登闻检院事

宋前期差遣官名",2
"### 监登闻检院 

南宋初",1
"### 监登闻检院门 

职事官名",2
"### 主管检匣 

南宋职事官名",2
"### 检匣 

匣改名",这段文字没有提供足够的信息来判断是机构还是官职。
"### 登闻院 

官署名",1
"### 判登闻院事

差遣官品",2
"### 知登闻院事 

兼官名",2
"### 勾当登闻院公事

差遣官名",2
"### 匦院

官署名",1
"### 匦

匦院所设投状铜匦",1
"### 令史 

吏名",2
"### 手分 

书令史、守当官总名",2
"### 承送亲事官 

吏卒名",2
"### 书写人 

吏名",2
"### 鼓司

官署名",1
"### 勾当鼓司公事 

差遣官名",2
"### 鼓

鼓司设鼓",2
"### 登闻鼓院

官署名",1
"### 登闻鼓 

登闻鼓院所设谏鼓",1
"### 判登闻鼓院事

宋前期差遣官名",2
"### 同判登闻鼓院事

登闻鼓院置判院官二人",2
"### 监登闻鼓院

南宋初",1
"### 监登闻鼓院门 

职事官名",2
"### 监鼓

北宋差遣官",2
"### 令史

吏名",2
"### 手分 

吏名",2
"### 书写人 

吏名",2
"### 看鼓 

杂役名",2
"### 下夫 

杂役名",2
"### 中书省

中央官署名",1
"### 中书省吏房

中书省常设办事部门之一",1
"### 中书省户房 

中书省常设办事部门之一",1
"### 中书省礼房 

中书省常设办事部门之一",1
"### 中书省兵房 

中书省常设办事部门之一",1
"### 中书省刑房 

中书省常设办事部门之一",1
"### 中书省工房 

中书省常设办事部门之一",1
"### 中书省生事房 

中书省常设办事部门之一",1
"### 中书省班簿房

中书省常设办事部门之一",1
"### 中书省制敕库房

中书省常设办事部门之一",1
"### 中书省催驱房 

中书省常设办事部门之一",1
"### 中书省点检房 

中书省常设办事部门之一",1
"### 中书省开拆房 

中书省生事房改名",1
"### 判中书省事

宋前期差遣官名",2
"### 中书令

官名",2
"### 右弼 

中书省令曾用名",2
"### 中书侍郎 

宋前期阶官名",2
"### 中书后省 

官署名",2
"### 中书后省上案 

中书后省常设办事部门之一",1
"### 中书后省下案 

中书后省常设办事部门之一",1
"### 中书后省制诰案 

中书后省常设办事部门之一",1
"### 中书后省谏官案 

中书后省常设办事部门之一",1
"### 中书后省记注案 

中书后省常设办事部门之一",1
"### 中书舍人 

宋前期官阶名",2
"### 权中书舍人 

兼官名",2
"### 起居舍人 

宋前期阶官名",2
"### 右散骑常侍

宋前期为阶官名",2
"### 右谏议大夫 

宋前期为官阶名",2
"### 直舍人院 

南宋特置避讳官名",2
"### 右补阙 

宋初阶官名",2
"### 右司谏 

端拱初置时职事官名",2
"### 右拾遗

宋初阶官名",2
"### 右正言 

宋前期为阶官名、偶为职事官；元丰新制",2
"### 中书检正五房公事

宰执属官",2
"### 都检正厅 

官衙名",1
"### 中书检正逐房（吏、户、礼、刑、孔目房）公事

## /page{191R}

宰属官名",2
"### 检正厅 

官司名",1
"### 中书逐房习学公事

宰属官名",2
"### 中书门下省 

中央官署名",1
"### 中书门下省检正诸房公事

宰属官名",2
"### 中书门下省检正房 

官司名",2
"### 中书门下省检正所 

中书门下省检正房之改名",1
"### 中书省录事 

堂吏名",2
"### 主事 

吏名",2
"### 令史 

吏名",2
"### 书令吏 

吏名",2
"### 守当官 

吏名",2
"### 守阙守当官 

吏名",2
"### 尚书省

官署名",2
"### 尚书都省

即尚书省",2
"### 尚书省吏房

元丰新制尚书省十房之一",1
"### 尚书省户房

元丰新制尚书省十房之一",1
"### 尚书省礼房

元丰尚书省十房之一",1
"### 尚书省兵房

元丰尚书省十房之一",1
"### 尚书省刑房

元丰尚书省十房之一",1
"### 尚书省工房

元丰尚书省十房之一",1
"### 尚书省奏钞班簿房

元丰改制后增置的尚书省房",1
"### 尚书省案钞刑房

元丰改制后增设的省房",1
"### 尚书省都知杂房

元丰尚书省十房之一",2
"### 尚书省开拆房

元丰尚书省十房之一",1
"### 尚书省催驱房

元丰尚书省十房之一",1
"### 尚书省点检房

元丰后尚书省增房之一",1
"### 尚书省制敕库房

元丰尚书省十房之一",1
"### 权判尚书都省事

宋前期差遣官名",2
"### 权判行在尚书省

临时因事而设的官名",2
"### 行在尚书省

北宋临时因随驾而设的官司",2
"### 尚书令

官名",2
"### 尚书省左仆射

阶官、职事官名",2
"### 尚书省右仆射

阶官、职事官名",2
"### 太宰

官名",2
"### 少宰

尚书省右仆射改名",2
"### 朝堂

尚书左、右仆射厅、尚书令厅",1
"### 尚书省左丞

阶官",2
"### 尚书省右丞

阶官、职事官名",2
"### 仆射丞

尚书省左、右仆射与尚书省左、右丞连称",2
"### 二丞、贰丞

尚书省左、右丞合称",2
"### 尚书省左丞厅、尚书省右丞厅

尚书省左、右丞官署",2
"### 尚书丞郎

职官总名",2
"### 尚书省左司

官司名",2
"### 尚书省右司

官司名",2
"### 尚书省左、右司

尚书省左司、尚书省右司连称",2
"### 尚书都司御史房

尚书省左右司办事部门",1
"### 尚书都司茶盐案

尚书省左右司办事部门",2
"### 尚书省左司知杂案

尚书省左司事务部门",1
"### 尚书省右司知杂案

尚书省右司事务部门",1
"### 尚书省左司郎中

阶官、职事官名",2
"### 尚书省右司郎中

阶官、职事官名",2
"### 尚书省左司员外郎

阶官、职事官名",2
"### 尚书省右司员外郎

阶官、职事官名",2
"### 尚书左、右司郎官

尚书省左、右司郎中与员外郎总称",2
"### 尚书省习学公事

职事官名",2
"### 尚书省都事

吏名",2
"### 主事

吏名",2
"### 令史

吏名",2
"### 书令史

吏名",2
"### 守当官

吏名",2
"### 守阙守当官

吏名",2
"### 法司

吏名",2
"### 手分

吏名",2
"### 书奏

吏名",2
"### 御营使司（南宋）

官署名",2
"### 御营使 

兼官名",2
"### 御营副使 

兼官名",2
"### 御营司参赞军事

御营使司属官名",2
"### 御营司参议官 

御营使司属官名",2
"### 提举御营使司一行事务 

御营使司属官名",2
"### 御营使司都统制司

御嘗司都统制所设的军事指挥机构",1
"### 御营使司都统制 

武官名",2
"### 御营使司同都统制

武官名",2
"### 御营使司副都统制

武官名",2
"### 御营都副统制

御营使司都统制、副都统制连称",2
"### 御营五军统制军马官 

武官名",2
"### 御营使司前军统制官 

武官名",2
"### 御营使司后军统制官 

武官名",2
"### 御营使司左军统制官 

武官名",2
"### 御营使司右军统制官

武官名",2
"### 御营使司中军统制官

武官名",2
"### 御营使司都统司统领 

武官名",2
"### 御营使司左军都统制

御营司统兵官",2
"### 御营使司右军都统制

御营司统兵官",2
"### 御营使司平寇前将军

加官名",2
"### 御营使司主管机宜文字 

御营司属官名",2
"### 御营使司激赏库 

库名",1
"### 御营宿卫使司

官署名",1
"### 御营宿卫使

武官名",2
"### 御营宿卫使司先锋军都统制

武官名",2
"### 御营宿卫使司前军都统制

武官名",2
"### 御营宿卫使司右军统制 

武官名",2
"### 御营宿卫使司左军统制

武官名",2
"### 御营宿卫使司中军统制 

武官名",2
"### 御营宿卫使司随军都转运使 

御营宿卫使司属官",2
"### 御营宿卫使司书写机宜文字 

御营宿卫使司属官名",2
"### 修政局

京局名",1
"### 提举修政局

宰相兼官",2
"### 同提举修政局 

执政兼官",2
"### 制国用使 

宰相兼官名",2
"### 同知国用事 

参知政事兼官名",2
"### 三省户房国用司 

京局名",2
"### 国用使 

丞相兼官名",2
"### 国用司 

京局名",2
"### 国用司参计官 

国用司属官",2
"### 国用司同参计官 

国用司属官名",2
"### 国用参计所 

京局名",1
"### 榷货务都茶场 

官署名",1
